v_id,f_id,vehicle,empty,time
0,1,0,caryellow,b' \n\n',30317
1,2,0,carblue,b' \n\n',30317
2,3,0,cargreen,b' \n\n',30317
3,4,0,truckgreen,b' \n\n',30317
4,5,0,truckgreen,b' \n\n',30317
5,6,0,motorcyclegreen,b' \n\n',30317
6,7,1,truckgreen,b' \n\n',30317
7,8,7,busgreen,b' \n\n',30317
8,9,12,carred,b' \n\n',30317
9,10,12,carred,b' \n\n',30317
10,11,14,carred,b' \n\n',30317
11,12,19,motorcycleyellow,b' \n\n',30317
12,13,29,carred,b' \n\n',30318
13,14,38,truckgreen,b' \n\n',30318
14,15,39,motorcycleyellow,b' \n\n',30318
15,16,39,carorange,b' \n\n',30318
16,17,40,busgreen,b' \n\n',30318
17,18,41,motorcyclewhite,b' \n\n',30318
18,19,44,motorcyclewhite,b' \n\n',30318
19,20,45,carorange,b' \n\n',30318
20,21,50,motorcyclegreen,b'',30319
21,22,52,cargreen,b' \n\n',30319
22,23,55,motorcyclewhite,b'\xe2\x80\x99? \n\n',30319
23,24,56,cargreen,b'\xe2\x80\x99? \n\n',30319
24,25,59,carblue,b'\xe2\x80\x99? \n\n',30319
25,26,61,truckgreen,b'\xe2\x80\x99? \n\n',30319
26,27,65,motorcycleyellow,b'\xe2\x80\x99? \n\n',30319
27,28,73,carblue,b'',30319
28,29,75,motorcyclegreen,b' \n\n',30320
29,30,78,carorange,b' \n\n',30320
30,31,79,carwhite,b' \n\n',30320
31,32,83,carorange,b' \n\n',30320
32,33,85,truckgreen,b' \n\n',30320
33,34,86,carorange,b' \n\n',30320
34,35,88,truckgreen,b'',30320
35,36,90,truckgreen,b'',30320
36,37,92,truckgreen,b'',30320
37,38,94,truckorange,b'',30320
38,39,95,busgreen,b'',30320
39,40,95,busgreen,b'',30320
40,41,101,truckyellow,b'',30321
41,42,104,caryellow,b'',30321
42,43,122,caryellow,b'',30321
43,44,125,caryellow,b'',30322
44,45,129,cargreen,b'',30322
45,46,130,caryellow,b'',30322
46,47,134,truckgreen,b'',30322
47,48,138,truckgreen,b'',30322
48,49,140,truckgreen,b'',30322
49,50,141,truckblue,b'',30322
50,51,147,cargreen,b'',30322
51,52,148,truckblue,b'',30322
52,53,150,caryellow,b' \n\n',30323
53,54,150,truckyellow,b' \n\n',30323
54,55,153,truckblue,b' \n\n',30323
55,56,153,motorcyclewhite,b' \n\n',30323
56,57,155,carred,b' \n\n',30323
57,58,155,carblue,b' \n\n',30323
58,59,156,cargreen,b' \n\n',30323
59,60,164,truckgreen,b' \n\n',30323
60,61,166,truckyellow,b'   \n\n',30323
61,62,167,motorcyclewhite,b' \n\n',30323
62,63,167,truckgreen,b' \n\n',30323
63,64,170,busyellow,b' \n\n',30323
64,65,171,cargreen,b' \n\n',30323
65,66,172,truckyellow,b' \n\n',30323
66,67,178,busred,b' \n\n',30324
67,68,179,carwhite,b' \n\n',30324
68,69,194,truckwhite,b'',30324
69,70,196,carred,b'',30324
70,71,197,truckgreen,b'',30324
71,72,200,carwhite,b' \n\n',30325
72,73,202,busyellow,b' \n\n',30325
73,74,207,motorcyclegreen,"b'_""\xe2\x80\x981!!"":\xe2\x80\x98"" \n\n'",30325
74,75,207,busred,"b'_""\xe2\x80\x981!!"":\xe2\x80\x98"" \n\n'",30325
75,76,209,carred,b'',30325
76,77,211,motorcyclegreen,b'',30325
77,78,218,motorcyclered,b' \n\n',30325
78,79,222,motorcyclegreen,b' \n\n',30325
79,80,224,motorcyclegreen,b' \n\n',30325
80,81,225,carwhite,b' \n\n',30326
81,82,230,truckgreen,b' \n\n',30326
82,83,231,carwhite,b' \n\n',30326
83,84,237,motorcyclewhite,b' \n\n',30326
84,85,251,motorcyclewhite,b'',30327
85,86,252,truckgreen,b'',30327
86,87,258,truckgreen,b'',30327
87,88,260,cargreen,b'',30327
88,89,263,truckgreen,b'',30327
89,90,265,truckgreen,b'',30327
90,91,283,motorcyclered,b' \n\n',30328
91,92,284,truckyellow,b' \n\n',30328
92,93,287,caryellow,b' \n\n',30328
93,94,293,carblue,b' \n\n',30328
94,95,297,carwhite,b' \n\n',30328
95,96,298,truckyellow,b' \n\n',30328
96,97,307,motorcyclegreen,"b'\xe2\x80\x98T\xe2\x80\x99? ""T\' \n\n'",30329
97,98,311,motorcyclegreen,"b'\xe2\x80\x98T\xe2\x80\x99? ""T\' \n\n'",30329
98,99,318,busgreen,"b""' \n\n""",30329
99,100,320,motorcyclewhite,"b""' \n\n""",30329
100,101,321,buswhite,"b""' \n\n""",30329
101,102,325,buswhite,b'',30330
102,103,329,carwhite,"b""\xe2\x80\x98:?L\xe2\x80\x9c',' \n\n""",30330
103,104,331,carwhite,"b'\xe2\x80\x98 ,\xe2\x80\x98;?j""F\n\n'",30330
104,105,334,carwhite,"b'\xe2\x80\x98 ,\xe2\x80\x98;?j""F\n\n'",30330
105,106,335,motorcyclegreen,"b'\xe2\x80\x98 ,\xe2\x80\x98;?j""F\n\n'",30330
106,107,336,carwhite,"b'\xe2\x80\x98 ,\xe2\x80\x98;?j""F\n\n'",30330
107,108,338,buswhite,"b'\xe2\x80\x98 ,\xe2\x80\x98;?j""F\n\n'",30330
108,109,339,caryellow,"b'\xe2\x80\x98 ,""?;\xe2\x80\x9d\xe2\x80\x94\xe2\x80\x9c\',\'\n\n'",30330
109,110,341,cargreen,"b'\xe2\x80\x98 ,""?i\xe2\x80\x94\xe2\x80\x9c\',\'\n\n'",30330
110,111,348,carwhite,b'',30330
111,112,351,truckorange,b' \n\n',30331
112,113,355,carwhite,b' \n\n',30331
113,114,356,carwhite,b' \n\n',30331
114,115,360,carwhite,b' \n\n',30331
115,116,361,carwhite,b' \n\n',30331
116,117,364,carwhite,b' \n\n',30331
117,118,401,buswhite,b' \n\n',30333
118,119,408,truckwhite,b' \n\n',30333
119,120,411,motorcyclewhite,b'',30333
